eeschema (2013-03-19 BZR 4004)-stable  >> Creation date: 2015/1/4 18:00:19
#Cmp ( order = Reference )
| C1         470uF/6.3V  ; C_CPOL_SMCE 
| C2         MLCC_C3216X7R1E475K/4.7uF/25V; rcl-C1206   
| C3         100N        ; C_C_0603    
| C4         0.1UF       ; C_C_0603    
| C5         100N        ; C_C_0603    
| C6         22uF        ; C_C_0603    
| C7         6.8NF       ; C_C_0603    
| C8         4.7uF       ; C_C_0603    
| C9         10NF        ; C_C_0603    
| C10        MLCC_C3216X7R1E106KT/10uF/4.5V; rcl-C1206   
| C11        1Uf         ; C_C_0603    
| C12        1uF         ; C_C_0603    
| C13        1uF         ; C_C_0603    
| C14        0.1uF       ; C_C_0603    
| C15        0.1uF       ; C_C_0603    
| C16        4.7uF       ; C_C_0603    
| C17        0.1uF       ; C_C_0603    
| C18        0.1uF       ; C_C_0603    
| C19        4.7uF       ; C_C_0603    
| C20        0.1uF       ; C_C_0603    
| C21        0.1uF       ; C_C_0603    
| C22        0.1uF       ; C_C_0603    
| C23        12p         ; C_C_0603    
| C24        12p         ; C_C_0603    
| C25        0.1uF       ; C_C_0603    
| C26        0.1uF       ; C_C_0603    
| C27        100N        ; C_C_0603    
| C28        0.1uF       ; C_C_0603    
| C29        100N        ; C_C_0603    
| C30        0.1uF       ; C_C_0603    
| C31        68uF        ; C_CPOL_SMCB 
| C32        68uF        ; C_CPOL_SMCB 
| C33        68uF        ; C_CPOL_SMCB 
| C34        68uF        ; C_CPOL_SMCB 
| C35        22p         ; C_C_0603    
| C36        MLCC_C3216X7R1E106KT/10uF/4.5V; rcl-C1206   
| C37        10uF        ; C_CPOL_SMCA 
| C38        10uF        ; C_CPOL_SMCA 
| C39        0.1uF       ; C_C_0603    
| C40        0.1uF       ; C_C_0603    
| C41        0.1uF       ; C_C_0603    
| C42        0.1uF       ; C_C_0603    
| C43        22p         ; C_C_0603    
| C44        1Uf         ; C_C_0603    
| C45        100NF       ; C_C_0603    
| C46        100NF       ; C_C_0603    
| C47        100NF       ; C_C_0603    
| D1         C_DIODE-1N4148_MINIMELF; C_DIODE-1N4148_MINIMELF
| D2         C_B130_13_F_SMA; C_B130      
| D3         C_DIODE-1N4148_MINIMELF; C_DIODE-1N4148_MINIMELF
| IC1        IC_ATMEGA32U4_TQFP44; IC_ATMEGA32U4_TQFP44
| J1         IO_USB-MICRO-B-MK5P; IO_USB-MICRO-B-MK5P    
| L1         CDRH74NP-100MC/10uH/4A; rcl-L7070   
| L2         32OHM/BEAD  ; rcl-L0805   
| L3         BLM21PG221SN1; rcl-L0805   
| L4         32OHM/BEAD  ; rcl-L0805   
| L5         32OHM/BEAD  ; rcl-L0805   
| L6         BLM21PG221SN1; rcl-L0805   
| L7         BLM21PG221SN1; rcl-L0805   
| L8         BLM21PG221SN1; rcl-L0805   
| L9         BLM21PG221SN1; rcl-L0805   
| L10        L-EUL0603   ; rcl-L0603 ¥≈÷È  
| L15        32OHM/BEAD  ; rcl-L0805   
| LED1       Green       ; C_LED_0805  
| LED2       yellow      ; C_LED_0805  
| LED3       yellow      ; C_LED_0805  
| R1         1M          ; C_R_0603    
| R2         100K        ; C_R_0603    
| R3         10K         ; C_R_0603    
| R4         1M          ; C_R_0603    
| R5         6.8K        ; C_R_0603    
| R6         10K/1%      ; C_R_0603    
| R7         26.1K/1%    ; C_R_0603    
| R8         10K         ; C_R_0603    
| R9         10k         ; C_R_0603    
| R10        15k         ; C_R_0603    
| R11        2.43k/1%    ; C_R_0603    
| R12        33          ; C_R_0603    
| R13        510K        ; C_R_0603    
| R14        510K        ; C_R_0603    
| R15        510K        ; C_R_0603    
| R16        510K        ; C_R_0603    
| R17        10K         ; C_R_0603    
| R18        10K         ; C_R_0603    
| R19        10K         ; C_R_0603    
| R20        10K         ; C_R_0603    
| R21        1M          ; C_R_0603    
| R22        10K         ; C_R_0603    
| R23        330         ; C_R_0603    
| R24        4.7K        ; C_R_0603    
| R25        1K          ; C_R_0603    
| R26        10K         ; C_R_0603    
| R27        1K          ; C_R_0603    
| S1         C_SW_TS42   ; C_SW_TS42   
| U1         IC_MP1484EN_SOIC08; IC_MP1484EN_SOIC08
| U2         DLW21SN900SQ2; DLW21SN900SQ2
| U3         IP4220CZ6   ; IP4220CZ6_SOT23_6
| U4         UPD720114-QFP48; UPD720114-QFP48
| U5         USB-AF-90   ; USB-AF-90 œ¬≥¡ ΩUSBÀ´≤„◊˘  
| U8         FT232RL_SSOP_28; FT232RL_SSOP_28
| U9         DLW21SN900SQ2; DLW21SN900SQ2
| U10        DLW21SN900SQ2; DLW21SN900SQ2
| U11        C_SW_SPSDSMD; C_SW_SPSDSMD¡˘Ω«Ã˘∆¨≤¶∂Øø™πÿ
| U13        IP4220CZ6   ; IP4220CZ6_SOT23_6
| U14        IP4220CZ6   ; IP4220CZ6_SOT23_6
| U15        AP2146      ; SOP8 
| U16        AP2146      ; SOP8 
| U17        C_SW_SPSDSMD; C_SW_SPSDSMD  ¡˘Ω«Ã˘∆¨≤¶∂Øø™πÿ
| X1         30MHz       ; C_CRY_5.0-3.2
| X2         16m         ; C_CRY_3.2-2.5
#End Cmp

#ÂàóË°®ÁªìÊùü
